SCHOOLDISTNO,SCHOOLDIST SCHOOL DISTRICT
0007,ABBOTSFORD SCHOOL DISTRICT
0014,ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT
0063,ALBANY SCHOOL DISTRICT
0070,ALGOMA SCHOOL DISTRICT
0084,ALMA SCHOOL DISTRICT
0091,ALMA CENTER SCHOOL DISTRICT
0105,ALMOND-BANCROFT SCHOOL DISTRICT
0112,ALTOONA SCHOOL DISTRICT
0119,AMERY SCHOOL DISTRICT
0126,TOMORROW RIVER SCHOOL DISTRICT
0140,ANTIGO UNIFIED SCHOOL DISTRICT
0147,APPLETON AREA SCHOOL DISTRICT
0154,ARCADIA SCHOOL DISTRICT
0161,ARGYLE SCHOOL DISTRICT
0170,ASHLAND SCHOOL DISTRICT
0182,ASHWAUBENON SCHOOL DISTRICT
0196,ATHENS SCHOOL DISTRICT
0203,AUBURNDALE SCHOOL DISTRICT
0217,AUGUSTA SCHOOL DISTRICT
0231,BALDWIN-WOODVILLE AREA SCHOOL DISTRICT
0238,UNITY SCHOOL DISTRICT
0245,BANGOR SCHOOL DISTRICT
0280,BARABOO SCHOOL DISTRICT
0287,BARNEVELD SCHOOL DISTRICT
0308,BARRON AREA SCHOOL DISTRICT
0315,BAYFIELD SCHOOL DISTRICT
0336,BEAVER DAM UNIFIED SCHOOL DISTRICT
0350,BELLEVILLE SCHOOL DISTRICT
0364,BELMONT COMMUNITY SCHOOL DISTRICT
0413,BELOIT SCHOOL DISTRICT
0422,BELOIT TURNER SCHOOL DISTRICT
0427,BENTON SCHOOL DISTRICT
0434,BERLIN AREA SCHOOL DISTRICT
0441,BIRCHWOOD SCHOOL DISTRICT
0469,WISCONSIN HEIGHTS SCHOOL DISTRICT
0476,BLACK RIVER FALLS SCHOOL DISTRICT
0485,BLAIR-TAYLOR SCHOOL DISTRICT
0490,PECATONICA AREA SCHOOL DISTRICT
0497,BLOOMER SCHOOL DISTRICT
0602,BONDUEL SCHOOL DISTRICT
0609,BOSCOBEL AREA SCHOOL DISTRICT
0616,NORTH LAKELAND SCHOOL DISTRICT
0623,BOWLER SCHOOL DISTRICT
0637,BOYCEVILLE COMMUNITY SCHOOL DISTRICT
0657,BRIGHTON #1 SCHOOL DISTRICT
