SCHOOLDISTNO,SCHOOLDIST
0007,ABBOTSFORD
0014,ADAMS-FRIENDSHIP AREA
0063,ALBANY
0070,ALGOMA
0084,ALMA
0091,ALMA CENTER
0105,ALMOND-BANCROFT
0112,ALTOONA
0119,AMERY
0126,TOMORROW RIVER
0140,ANTIGO UNIFIED
0147,APPLETON AREA
0154,ARCADIA
0161,ARGYLE
0170,ASHLAND
0182,ASHWAUBENON
0196,ATHENS
0203,AUBURNDALE
0217,AUGUSTA
0231,BALDWIN-WOODVILLE AREA
0238,UNITY
0245,BANGOR
0280,BARABOO
0287,BARNEVELD
0308,BARRON AREA
0315,BAYFIELD
0336,BEAVER DAM UNIFIED
0350,BELLEVILLE
0364,BELMONT COMMUNITY
0413,BELOIT
0422,BELOIT TURNER
0427,BENTON
0434,BERLIN AREA
0441,BIRCHWOOD
0469,WISCONSIN HEIGHTS
0476,BLACK RIVER FALLS
0485,BLAIR-TAYLOR
0490,PECATONICA AREA
0497,BLOOMER
0602,BONDUEL
0609,BOSCOBEL AREA
0616,NORTH LAKELAND
0623,BOWLER
0637,BOYCEVILLE COMMUNITY
0657,BRIGHTON #1
0658,BRILLION
0665,BRISTOL #1
0700,BRODHEAD
0714,ELMBROOK
0721,BROWN DEER
0735,BRUCE
0777,BURLINGTON AREA
0840,BUTTERNUT
0870,CADOTT COMMUNITY
0882,CAMBRIA-FRIESLAND
0896,CAMBRIDGE
0903,CAMERON
0910,CAMPBELLSPORT
0980,CASHTON
0994,CASSVILLE
1015,CEDARBURG
1029,CEDAR GROVE-BELGIUM AREA
1071,CHEQUAMEGON
1080,CHETEK-WEYERHAEUSER AREA
1085,CHILTON
1092,CHIPPEWA FALLS AREA UNIFIED
1120,CLAYTON
1127,CLEAR LAKE
1134,CLINTON COMMUNITY
1141,CLINTONVILLE
1155,COCHRANE-FOUNTAIN CITY
1162,COLBY
1169,COLEMAN
1176,COLFAX
1183,COLUMBUS
1204,CORNELL
1218,CRANDON
1232,CRIVITZ
1246,CUBA CITY
1253,CUDAHY
1260,CUMBERLAND
1295,DARLINGTON COMMUNITY
1309,DEERFIELD COMMUNITY
1316,DE FOREST AREA
1376,KETTLE MORAINE
1380,DELAVAN-DARIEN
1407,DENMARK
1414,DE PERE
1421,DE SOTO AREA
1428,DODGEVILLE
1449,DOVER #1
1491,DRUMMOND AREA
1499,DURAND
1526,NORTHLAND PINES
1540,EAST TROY COMMUNITY
1554,EAU CLAIRE AREA
1561,EDGAR
1568,EDGERTON
1582,ELCHO
1600,ELEVA-STRUM
1631,ELKHART LAKE-GLENBEULAH
1638,ELKHORN AREA
1645,ELK MOUND AREA
1659,ELLSWORTH COMMUNITY
1666,ELMWOOD
1673,ROYALL
1687,ERIN
1694,EVANSVILLE COMMUNITY
1729,FALL CREEK
1736,FALL RIVER
1813,FENNIMORE COMMUNITY
1848,LAC DU FLAMBEAU #1
1855,FLORENCE COUNTY
1862,FOND DU LAC
1870,FONTANA J8
1883,FORT ATKINSON
1890,FOX POINT J2
1897,MAPLE DALE-INDIAN HILL
1900,FRANKLIN PUBLIC
1939,FREDERIC
1945,NORTHERN OZAUKEE
1953,FREEDOM AREA
2009,GALESVILLE-ETTRICK-TREMPEALEAU
2016,NORTH CRAWFORD
2044,GENEVA J4
2051,GENOA CITY J2
2058,GERMANTOWN
2114,GIBRALTAR AREA
2128,GILLETT
2135,GILMAN
2142,GILMANTON
2177,NICOLET UHS
2184,GLENDALE-RIVER HILLS
2198,GLENWOOD CITY
2212,GOODMAN-ARMSTRONG CREEK
2217,GRAFTON
2226,GRANTON AREA
2233,GRANTSBURG
2240,BLACK HAWK
2289,GREEN BAY AREA PUBLIC
2296,GREENDALE
2303,GREENFIELD
2310,GREEN LAKE
2394,GREENWOOD
2415,GRESHAM
2420,HAMILTON
2422,SAINT CROIX CENTRAL
